TIME	IMEI	IP	
3/8/2016 (22:38)	359038050070728	37.239.124.42	
3/8/2016 (22:38)	352149073995416	37.237.156.29	
3/8/2016 (22:40)	0	49.15.67.97	
3/8/2016 (22:43)	357386069167775	122.15.125.249	
3/8/2016 (22:43)	357384051275136	138.0.175.43	
3/8/2016 (22:45)	358916020865973	114.125.80.174	
3/8/2016 (22:47)	359703051439459	105.112.33.170	
3/8/2016 (22:51)	354137065069546	103.12.122.22	
3/8/2016 (22:52)	0	114.125.29.80	
3/8/2016 (22:53)	356381064324753	212.126.112.41	
3/8/2016 (22:54)	352954060591387	115.166.128.242	
3/8/2016 (22:55)	359658066427834	37.28.101.201	
3/8/2016 (22:56)	358932040013064	180.214.233.5	
3/8/2016 (22:56)	358943065649344	181.103.235.223	
3/8/2016 (22:57)	864694023562288	105.172.24.215	
3/8/2016 (22:57)	354653050157468	202.67.42.38	
3/8/2016 (22:57)	359998061558005	202.62.16.25	
3/8/2016 (22:58)	864179026899739	223.255.230.234	
3/8/2016 (22:58)	355831051839552	180.251.90.90	
3/8/2016 (22:59)	0	41.254.6.22	
3/8/2016 (23:2)	352832074713827	106.219.35.22	
3/8/2016 (23:3)	0	114.124.32.229	
3/8/2016 (23:4)	354882050828600	202.67.40.218	
3/8/2016 (23:11)	359888064251288	186.212.120.118	
3/8/2016 (23:12)	0	196.148.185.103	
3/8/2016 (23:13)	866147029849025	46.153.242.240	
3/8/2016 (23:16)	354512075085494	80.214.65.110	
3/8/2016 (23:17)	100003330766	114.79.57.213	
3/8/2016 (23:19)	911370257566625	117.231.170.161	
3/8/2016 (23:19)	359034068549019	120.164.47.145	
3/8/2016 (23:24)	358003056335609	120.164.41.69	
3/8/2016 (23:25)	359919053180616	105.148.92.192	
3/8/2016 (23:25)	0	114.125.47.69	
3/8/2016 (23:26)	0	114.124.27.236	
3/8/2016 (23:26)	0	112.215.64.79	
3/8/2016 (23:28)	357638051934616	120.164.45.160	
3/8/2016 (23:28)	0	103.21.166.40	
3/8/2016 (23:29)	865022029265897	120.164.43.41	
3/8/2016 (23:29)	0	82.53.62.235	
3/8/2016 (23:30)	351778062946476	188.208.74.38	
3/8/2016 (23:30)	911417458726456	223.196.189.234	
3/8/2016 (23:33)	353516071206914	114.121.159.44	
3/8/2016 (23:35)	355203060394153	179.189.114.26	
3/8/2016 (23:35)	359464075863865	94.254.226.244	
3/8/2016 (23:38)	357700063510758	114.120.232.33	
3/8/2016 (23:40)	352144073669194	5.1.109.253	
3/8/2016 (23:41)	0	109.188.127.12	
3/8/2016 (23:42)	0	41.79.217.117	
3/8/2016 (23:44)	354028070327666	114.121.237.47	
3/8/2016 (23:46)	354738067326378	2.91.135.199	
3/8/2016 (23:47)	352569071400228	119.160.67.191	
3/8/2016 (23:48)	0	112.215.66.98	
3/8/2016 (23:48)	357195054084790	45.217.123.254	
3/8/2016 (23:50)	352293065223161	179.69.45.196	
3/8/2016 (23:51)	866038022814431	114.124.33.128	
3/8/2016 (23:51)	359888061246661	179.170.150.231	
3/8/2016 (23:52)	359443051641024	151.57.74.235	
